estado,id,oracion
negativo,1119,el bigdata permite hacer psicometría en grado extremo .
positivo,1120,el bigdata posee una gran cantidad de cámaras y de sensores que son capaces de tomar y analizar diversos tipos de información .
positivo,1121,"el bigdata relucía en las portadas , una herramienta que ayudaría a conservar la salud de la gente mejor que los epidemiólogos ."
positivo,1122,"el bigdata se aleja de la superficialidad de quienes creían que el éxito de la página sería algo pasajero , o incluso los que se aventuraron a decir que se aproximaba el fin de la red_social con una retorcida fórmula matemática ."
positivo,1124,el bigdata se basa en sistemas informáticos que tienen como objetivo almacenar grandes cantidades de información en bases de datos para luego identificar comportamientos .
positivo,1125,"el bigdata se complementa con el ' cloud computing ' o ' computación en la nube ' , el conjunto de recursos informáticos compartidos , como redes , servidores , programas , sistemas de almacenamiento , aplicaciones y servicios , alojados en un servidor conectado a la red , y que son accesibles desde una conexión a internet , sin necesidad de instalar software ejecutable ni almacenar la información generada en el disco duro de la computadora de sus usuarios ."
positivo,1126,"el bigdata se emplea para realizar investigaciones , tomar precauciones en ciberseguridad , gestionar recursos en las ciudades o para hacer propuestas de marketing ."
positivo,1127,"el bigdata se utiliza con la idea de analizar impacto , alcance , temáticas derivadas y varios indicadores que le permitan a las organizaciones conocer en profundidad a su audiencia ' , señaló giménez ."
positivo,1128,"el bigdata también fue clave para que el francés emmanuel macron construyera su propia fuerza , en marche! , y en poco más de un año se convierta en el más joven ocupante del elíseo ."
positivo,1129,"el bigdata también puede aplicar a otros deportes como el básquet , la fórmula 1 y el tenis , aunque su implementación aún está en su etapa inicial ."
positivo,1130,el bigdata también se hace arte : en la fundación telefónica se está presentando una muestra con el nombre de big bang data donde el concepto de la generación y manipulación de grandes cantidades de información pasa de abstracto a concreto .
positivo,1131,"el bigdata también se impuso en las tribunas , porque este año en el crandon park - sede del miami open - se vieron por primera vez pantallas led gigantes con números de los partidos en tiempo real , desde la velocidad del saque hasta el porcentaje de efectividad de los golpes ."
positivo,1132,el bigdata tiene ventajas en todas las áreas de actividad y sectores .
positivo,1133,el bigdata va a ser una de las herramientas que transformará nuestras ciudades .
positivo,1134,el bigdata y la analítica y el análisis predictivo están tomando un rol muy importante al momento de definir un buen mix .
negativo,1135,"el bigdata y quienes van a manejar toda la información a nivel global se va perfilando entre estas empresas , cuyos planes de pasar a ser distribuidores de internet ( además de sus contenidos ) no parecen ser controlados por las leyes antimonopolio ."
positivo,1136,el boom de bigdata se refiere a la masiva disponibilidad de información generada por internet y otros mecanismos electrónicos de interacción social .
positivo,1137,"el cambio cultural , se da que en la actualidad con las nuevas herramientas de bigdata , las organizaciones ahora también son capaces de trabajar con datos desestructurados ."
positivo,1138,el campo se está aproximando al bigdata de tal forma que los agricultores están ampliando el uso de sensores .
positivo,1147,el científico de datos es un claro ejemplo de una profesión nacida a la luz del auge del bigdata .
positivo,1148,"el club de fútbol atlas , que compite en la primera d , utiliza técnicas de bigdata , tecnologías de la información y neurociencia para mejorar el rendimiento de este equipo que se hizo famoso por las ya 13 temporadas del reality en fox sports y que se prepara para enfrentar a river por la copa argentina ."
positivo,1155,"el consultor luis dall’ aglio resaltó por su parte ' el salto cualitativo que implica contar con los elementos del bigdata en una ciudad como córdoba , donde el 69 por ciento de la población dice que el whatsapp es el principal medio utilizado para su comunicación ' ."
positivo,1157,"el contar con información tan detallada , y el aprovechar los datos que la bigdata y los sistemas de inteligencia artificial disponen , permite bajar el nivel de incertidumbre al momento de elegir los medios para una campaña ."
positivo,1158,"el crecimiento extraordinario de las ganancias de las empresas gafa ( google , amazon , facebook y apple ) , las gigantes de internet , ha llevado a algunos a imaginar el desarrollo de un capitalismo digital que ya no se basa en la explotación del trabajo sino en la ' revolución tecnológica ' y la apropiación del bigdata ."
positivo,1159,"el data scientist debe contar con dos cualidades que no son muy comunes de encontrar al mismo tiempo : un entrenamiento estadístico y , simultáneamente , un gran interés para investigar y descubrir características nuevas en la información en la nueva era del bigdata ."
negativo,1162,"el del bigdata es un proceso positivista y cuantitativo que ciertamente inquieta a los vigilados , pero también a quienes recogen los ( ¿ meta ?"
positivo,1164,"el deporte se alía con el bigdata , en pos del objetivo siempre buscado : mejorar el rendimiento , ganar , ser el mejor ."
positivo,1167,el desafío del bigdata la mayoría de las compañías argentinas empezaron sumando tecnología en sus procesos de gestión y trámites .
positivo,1169,"el desafío para los partidos políticos , los equipos de campaña y los medios de comunicación será encontrar a aquellos especialistas locales que los pueden ayudar a interpretar el bigdata , los comportamientos en redes_sociales y la actividad digital de todos aquellos que vayan a participar de las próximas elecciones ."
positivo,1170,"el desafío principal es poder ofrecerles una comunicación personalizada , aprovechando las ventajas que nos brinda el bigdata y poder así llegar con una estrategia de marketing 1 to 1 a las necesidades de cada cliente ."
positivo,1171,el desarrollo de la inteligencia_artificial y el bigdata tienen como objetivo el sistema educativo .
positivo,1172,"el desarrollo de soluciones integrales para el análisis de datos permitirá convertir a bigdata en información utilizable , lo que generará un enorme valor para aumentar la eficiencia y la productividad ."
positivo,1175,"el director comercial regional en social live , empresa dedicada a la investigación digital especializada en social listening y bigdata , anticipó que compartirá su experiencia tanto en ámbitos estatales como privados sobre estrategias de venta y comunicación en redes_sociales ; con él cerrará la primera parte de la jornada ."
positivo,1177,"el director del cmm , alejandro jofré , indicó que ' este nuevo procedimiento para detectar supernovas , a partir del modelamiento matemático y análisis astronómico en tiempo real sobre bigdata , es una nueva muestra de interesantes descubrimientos que se producen cuando la frontera de dos ciencias confluyen ' ."
positivo,1185,"el ejecutivo comentó que , además de los enfoques analíticos tradicionales basados en estadísticas , ' bigdata agrega nuevas técnicas que aprovechan los recursos computacionales para ejecutar algoritmos analíticos ' y destacó que ' la evolución de estos métodos y las tecnologías relacionadas han permitido acompañar el crecimiento de los conjuntos de datos tanto en volumen como en diversidad , facilitando el procesamiento en tiempo real y un flujo continuo de actualización de datos ' ."
positivo,1186,el ejecutivo consideró que la clave del éxito de un proyecto de bigdata es conocer cuál es la problemática del cliente .
positivo,1190,"el email mercadeo hace unos años pasó por una crisis similar en la cual la mayoría de los envíos de las marcas eran marcados como ' no deseados ' , enviados a ' spam ' por los usuarios y , acompañado por el crecimiento del ecommerce y el bigdata , supo reinventar y volver más personal y útil ."
positivo,1191,el empresario piensa que la recolección de bigdata ( concepto que se refiere al almacenamiento de grandes cantidades de información ) relacionada con los estudiantes contribuye a mejorar y personalizar su educación .
positivo,1192,"el encuentro , que se estructura alrededor de cinco ejes , analizará la sostenibilidad del turismo y el conocimiento de la demanda , la intermediación y la experiencia turístico mediante el uso del bigdata al servicio del conocimiento turístico , y la conectividad aérea , entre otros ."
positivo,1201,el entorno de bigdata va a generarles a las empresas enormes oportunidades de diferenciación en los próximos cinco a 10 años .
negativo,1202,"el entusiasmo que rodea al fenómeno de bigdata podría distorsionar las prioridades de la política de salud y dar lugar a la comercialización de productos y servicios que aún no han sido probados ' , aseguraron expertos a modo de conclusión del coloquio ' bigdata y salud ' , organizado en conjunto por unesco , la uca y la embajada de francia en argentina ."
negativo,1205,"el escándalo de cambridge analytica dejó al descubierto algo que ya se sabe que sucede desde hace años , que es la recolección de información en grandes cantidades ( bigdata ) de los usuarios por parte de las redes_sociales ."
positivo,1208,el especialista apuntó que ' el bigdata aporta una forma de relacionar con los ciudadanos ' .
positivo,1209,"el especialista aseguró que la temática surgió a través del uso del bigdata , en español datos a gran escala , que los gobiernos , políticos y empresas utilizan para conocer los intereses de la población ."
positivo,1210,el especialista habló sobre el material que está disponible a partir del uso de internet y las redes_sociales y cómo con ese material —ese bigdata— se puede interpretar para predecir los gustos de los consumidores y recordó su experiencia con amazon .
positivo,1214,el estudio y análisis de esta masa de datos recibe el nombre de ' bigdata ' .
positivo,1223,"el ex asesor de obama , hoy miembro del consejo directivo de la empresa de transporte de personas uber , estimó que el uso del ' bigdata ' podría darle un 2% de los votos a la ex senadora demócrata ."
positivo,1227,"el experto : patricio llaona ( marketing mánager caribbean and latin america de teradata bigdata y economía ) las personas deciden constantemente sobre cuestiones relacionadas a su vida personal y profesional , que van desde elegir qué fotos compartir en redes_sociales hasta determinar qué trámites y compras realizar por internet ."
positivo,1228,"el exponencial crecimiento de los datos , la digitalización y el bigdata transformarán igualmente los modelos productivos , clave para anticipar a las necesidades del cliente , para tomar mejores decisiones empresariales y para impulsar la innovación , añadió ."
positivo,1229,"el fenómeno de bigdata refiere a grandes volúmenes de datos , estructurados o no , que crecen a un ritmo que excede la capacidad de captura , almacenamiento , administración y análisis que poseen las herramientas tradicionales de software de bases de datos ."
positivo,1230,el fenómeno del bigdata pone a las empresas ante una encrucijada : cómo lograr que los datos jueguen a favor del negocio y no al revés .
negativo,1234,"el fraude consistió en detectar a traves de bigdata los distritos clave que los conservadores necesitaban ganar e inundar esos distritos con toda clase de publicidades y caravanas de voluntarios , con lo cual excedían por mucho los topes de gastos electorales para sus candidatos en distritos marginales ."
positivo,1236,"el gerente de proyectos de la consultora snoop consulting , claudio di salvo , señala que ' la bigdata significa una gran explosión en la cantidad de datos que se tratan continuamente , pero todos esos datos son inservibles si no se les puede sacar el provecho para obtener conclusiones que se puedan volcar nuevamente al negocio ' ."
positivo,1238,"el gobierno considera a los celulares , al concepto de bigdata y a los algoritmos sus herramientas claves para ganar los comicios , y peña desplegó ante la audiencia un explicación acotada y sencilla de un mecanismo de poder que domina como un nativo de silicon valley ."
positivo,1239,"el gobierno creó un observatorio nacional de bigdata , en el ámbito de la secretaría de tecnologías de la información y las comunicaciones , con el objetivo de implementar las nuevas tecnologías para mejorar la gestión y otros aspectos relevantes para la ciudadanía ."
positivo,1240,"el gobierno de jujuy coordinó con nación la concreción de un foro de bigdata para el mes de marzo del 2019 , anuncio realizado tras la finalización de la 2da asamblea ordinaria del consejo federal de modernización e innovación en la gestión pública que se realizó en la localidad de purmamarca ."
